tconst	averageRating	numVotes
tt0073537	4.9	610
tt0073604	2.9	426
tt0073706	5.6	530
tt0075035	3.3	568
tt0075211	5.2	215
tt0075745	4.5	52
tt0075788	7.3	957
tt0075816	5.4	161
tt0076035	5.5	132
tt0076041	4.7	58
tt0076426	6.7	79
tt0076694	5.8	103
tt0076709	5.2	2838
tt0076733	7.2	67
tt0077472	5.8	62
tt0077722	7.4	62
tt0077731	4.0	173
tt0078349	7.7	735
tt0078393	7.0	309
tt0078411	7.2	80
tt0078751	5.2	314
tt0078769	6.5	55
tt0078834	4.6	65
tt0078871	6.0	236
tt0078918	5.3	331
tt0079031	4.7	109
tt0079246	6.8	52
tt0079358	6.5	70
tt0079492	5.4	158
tt0079509	4.7	1568
tt0079572	6.3	58
tt0079650	6.9	62
tt0079712	7.5	59
tt0079799	6.9	56
tt0079891	6.9	3908
tt0079896	6.3	150
tt0079899	5.4	143
tt0079915	2.4	308
tt0079959	6.3	65
tt0080164	4.8	91
tt0080328	5.7	299
tt0080341	7.4	208
tt0080355	7.0	131
tt0080362	4.6	801
tt0080363	4.6	68
tt0080373	7.3	443
tt0080376	6.3	297
tt0080393	6.5	1481
tt0080399	4.6	123
tt0080435	6.7	107
tt0080438	4.1	580
tt0080440	5.9	3318
tt0080494	7.7	346
tt0080501	3.7	107
tt0080508	6.0	118
tt0080509	6.0	98
tt0080514	7.0	133
tt0080518	7.1	102
tt0080531	7.6	56
tt0080538	5.9	183
tt0080541	5.7	395
tt0080554	6.4	378
tt0080563	6.3	84
tt0080571	7.4	62
tt0080591	6.7	138
tt0080594	8.0	461
tt0080607	4.4	213
tt0080630	4.7	112
tt0080649	6.9	147
tt0080667	7.4	260
tt0080717	6.8	619
tt0080728	7.6	3172
tt0080765	4.2	73
tt0080780	7.0	71
tt0080787	4.5	179
tt0080828	6.6	323
tt0080847	4.8	71
tt0080867	7.0	82
tt0080872	4.6	195
tt0080899	5.8	143
tt0080911	6.8	113
tt0080912	7.3	93
tt0080920	6.4	222
tt0080939	7.1	116
tt0080957	6.3	113
tt0080982	7.8	481
tt0081001	3.5	94
tt0081027	3.1	2947
tt0081043	5.0	135
tt0081057	4.8	313
tt0081073	6.0	637
tt0081088	5.1	229
tt0081109	6.2	991
tt0081124	6.4	82
tt0081145	5.4	244
tt0081168	6.6	145
tt0081169	7.0	122
tt0081178	5.9	3029
tt0081193	6.1	87
tt0081203	5.6	664
tt0081204	7.4	474
tt0081229	4.7	1657
tt0081236	3.2	232
tt0081244	6.4	57
tt0081248	5.7	5058
tt0081262	7.3	380
tt0081267	6.4	87
tt0081286	5.3	650
tt0081313	6.6	51
tt0081315	4.3	120
tt0081349	7.5	1332
tt0081363	7.8	2128
tt0081366	4.7	420
tt0081387	6.1	142
tt0081394	5.1	53
tt0081415	6.0	699
tt0081427	7.5	2054
tt0081430	6.1	395
tt0081432	4.7	713
tt0081455	6.8	47553
tt0081501	6.8	83
tt0081511	5.6	51
tt0081513	5.3	155
tt0081533	5.4	215
tt0081538	4.6	69
tt0081557	7.2	368
tt0081609	6.8	1103
tt0081633	7.0	57683
tt0081655	6.9	276
tt0081664	6.5	318
tt0081674	6.4	388
tt0081677	4.3	2307
tt0081679	6.8	112
tt0081681	4.3	257
tt0081684	6.3	170
tt0081685	5.6	78
tt0081689	6.2	207
tt0081701	7.0	520
tt0081721	6.3	289
tt0081730	8.0	1712
tt0081766	7.1	1883
tt0081779	7.0	94
tt0081787	5.7	149
tt0081797	6.2	94
tt0081881	7.1	546
tt0081964	6.5	1841
tt0081967	6.5	97
tt0081968	7.5	378
tt0081971	6.9	131
tt0081974	6.9	11796
tt0081991	7.0	1229
tt0081992	6.7	130
tt0081998	7.1	85
tt0082001	5.6	1583
tt0082002	5.9	101
tt0082005	5.8	757
tt0082009	7.3	4247
tt0082010	7.5	91190
tt0082011	6.2	244
tt0082016	6.2	66
tt0082017	6.7	321
tt0082020	8.0	125
tt0082022	5.8	365
tt0082025	5.9	307
tt0082031	6.9	25593
tt0082032	5.7	68
tt0082034	6.5	1687
tt0082039	3.0	100
tt0082041	5.3	386
tt0082042	5.6	793
tt0082043	6.4	316
tt0082045	6.4	7291
tt0082047	6.3	53
tt0082048	6.5	538
tt0082052	4.9	100
tt0082053	7.0	2537
tt0082054	7.0	2534
tt0082055	7.1	136
tt0082057	3.8	93
tt0082060	6.2	84
tt0082071	7.4	65
tt0082072	6.8	197
tt0082073	7.4	3141
tt0082079	6.4	72
tt0082081	7.5	1892
tt0082084	5.8	4220
tt0082085	7.4	43628
tt0082087	8.2	858
tt0082088	7.6	1593
tt0082089	7.4	30487
tt0082090	4.4	269
tt0082094	5.6	2335
tt0082095	7.1	482
tt0082096	8.3	228529
tt0082106	7.5	743
tt0082107	5.0	159
tt0082110	3.8	103
tt0082111	6.6	4309
tt0082112	7.6	75
tt0082113	4.8	80
tt0082115	4.8	64
tt0082116	4.7	260
tt0082117	6.4	100
tt0082118	6.4	15689
tt0082120	4.7	57
tt0082121	6.1	2759
tt0082122	4.7	1193
tt0082123	5.9	102
tt0082126	5.4	85
tt0082128	6.1	390
tt0082131	5.6	90
tt0082136	6.3	32777
tt0082138	5.7	2492
tt0082141	5.3	59
tt0082145	6.1	563
tt0082146	5.8	6989
tt0082153	7.1	635
tt0082154	7.8	82
tt0082156	5.8	253
tt0082158	7.2	54014
tt0082159	4.2	1094
tt0082162	8.0	2212
tt0082163	6.2	6952
tt0082164	2.8	128
tt0082166	4.6	74
tt0082172	4.6	256
tt0082173	7.0	1515
tt0082174	6.4	371
tt0082175	7.1	1820
tt0082176	7.6	21370
tt0082177	4.2	271
tt0082180	4.4	99
tt0082183	7.4	7915
tt0082186	6.9	40554
tt0082193	5.1	469
tt0082198	6.9	135908
tt0082199	5.7	4482
tt0082200	6.2	4524
tt0082203	6.2	452
tt0082206	7.5	4922
tt0082210	7.3	1182
tt0082213	3.4	1521
tt0082214	6.4	55
tt0082216	7.1	247
tt0082217	6.2	71
tt0082220	6.9	4983
tt0082222	7.4	3025
tt0082230	7.0	569
tt0082233	2.9	190
tt0082234	4.5	97
tt0082237	3.8	950
tt0082241	7.9	776
tt0082242	6.6	9726
tt0082243	5.7	1649
tt0082245	5.6	4848
tt0082247	7.0	6697
tt0082250	6.1	14285
tt0082252	7.6	3627
tt0082256	6.3	343
tt0082257	4.6	920
tt0082259	7.0	1057
tt0082262	4.9	57
tt0082263	5.1	1133
tt0082264	3.7	67
tt0082268	5.7	148
tt0082269	7.1	11745
tt0082272	6.2	913
tt0082275	7.0	543
